term,tf,idf,tf_idf
telpon,1,6.341320842263373,6.341320842263373
salah,1,3.5897855292214245,3.5897855292214245
indak,1,6.436631022067698,6.436631022067698
rujuk,1,4.633821716653058,4.633821716653058
kota,1,6.659774573381908,6.659774573381908
bandung,1,9.837828403729853,9.837828403729853
pindah,1,4.617472578651529,4.617472578651529
puskesmas,1,5.694693677338321,5.694693677338321
cibeureum,3,9.837828403729853,29.51348521118956
tasikmalaya,2,9.837828403729853,19.675656807459706
cimahi,1,9.144681223169908,9.144681223169908
cek,1,4.9474792755081,4.9474792755081
otomatis,1,5.533763310525684,5.533763310525684
tugas,1,6.148948949615917,6.148948949615917
bantu,1,1.8754127236087899,1.8754127236087899
askesnya,1,9.837828403729853,9.837828403729853
kasihan,1,5.8488443571655795,5.8488443571655795
layan,1,2.838405936221893,2.838405936221893
muas,1,4.539511037181817,4.539511037181817
susah,1,2.5326401883368166,2.5326401883368166
negeri,1,7.004615059673638,7.004615059673638
kecuali,1,7.891918254674541,7.891918254674541
pbi,1,7.439933130931483,7.439933130931483
autodebit,2,5.966627392821963,11.933254785643927
gila,1,6.9474566458336895,6.9474566458336895
curi,1,8.451534042609962,8.451534042609962
uang,1,6.148948949615917,6.148948949615917
rakyat,1,4.985798139810236,4.985798139810236
